24.2,42.27436,-71.7955,1430.1
24.4,42.27437,-71.79549,1429.3
24.6,42.27438,-71.79548,1428.4
24.8,42.27439,-71.79548,1427.7
25,42.27439,-71.79547,1426.9
25.2,42.2744,-71.79547,1426
25.4,42.27441,-71.79546,1425.4
25.6,42.27442,-71.79546,1424.5
25.8,42.27442,-71.79545,1423.7
26,42.27443,-71.79545,1422.8
26.2,42.27444,-71.79544,1422
26.4,42.27444,-71.79544,1421.2
26.6,42.27445,-71.79543,1420.4
26.8,42.27446,-71.79543,1419.6
27,42.27446,-71.79542,1418.8
27.2,42.27447,-71.79542,1418
27.4,42.27447,-71.79541,1417.1
27.6,42.27448,-71.79541,1416.2
27.8,42.27448,-71.7954,1415.4
28,42.27449,-71.7954,1414.6
28.2,42.27449,-71.79539,1413.8
28.4,42.2745,-71.79539,1413
28.6,42.2745,-71.79538,1412.3
28.8,42.2745,-71.79538,1411.5
29,42.27451,-71.79537,1410.6
29.2,42.27451,-71.79537,1409.8
29.4,42.27452,-71.79536,1409
29.6,42.27452,-71.79535,1408.3
29.8,42.27453,-71.79535,1407.4
30,42.27453,-71.79534,1406.6
30.2,42.27453,-71.79534,1405.9
30.4,42.27454,-71.79533,1405.1
30.6,42.27454,-71.79532,1404.3
30.8,42.27455,-71.79531,1403.4
31,42.27456,-71.79531,1402.6
31.2,42.27456,-71.7953,1401.8
31.4,42.27457,-71.79529,1401
31.6,42.27457,-71.79528,1400.2
31.8,42.27458,-71.79527,1399.5
32,42.27458,-71.79526,1398.7
32.2,42.27459,-71.79525,1397.8
32.4,42.2746,-71.79525,1397
32.6,42.2746,-71.79524,1396.2
32.8,42.27461,-71.79523,1395.5
33,42.27461,-71.79522,1394.7
33.2,42.27462,-71.79522,1393.8
33.4,42.27463,-71.79521,1393.2
33.6,42.27463,-71.7952,1392.3
33.8,42.27464,-71.79519,1391.5
34,42.27465,-71.79519,1390.7
34.2,42.27465,-71.79518,1389.9
34.4,42.27466,-71.79518,1389.1
34.6,42.27467,-71.79517,1388.3
34.8,42.27467,-71.79517,1387.4
35,42.27468,-71.79516,1386.7
35.2,42.27469,-71.79516,1385.9
35.4,42.27469,-71.79515,1385
35.6,42.2747,-71.79515,1384.2
35.8,42.27471,-71.79515,1383.4
36,42.27471,-71.79514,1382.6
36.2,42.27472,-71.79514,1381.8
36.4,42.27472,-71.79513,1381
36.6,42.27473,-71.79513,1380.2
36.8,42.27473,-71.79513,1379.4
37,42.27474,-71.79512,1378.5
37.2,42.27475,-71.79512,1377.7
37.4,42.27475,-71.79511,1376.9
37.6,42.27476,-71.79511,1376.1
37.8,42.27476,-71.7951,1375.2
38,42.27477,-71.7951,1374.4
38.2,42.27477,-71.79509,1373.7
38.4,42.27477,-71.79509,1372.8
38.6,42.27478,-71.79508,1372
38.8,42.27478,-71.79508,1371.1
39,42.27478,-71.79507,1370.3
39.2,42.27479,-71.79507,1369.5
39.4,42.27479,-71.79506,1368.7
39.6,42.27479,-71.79506,1367.8
39.8,42.27479,-71.79505,1367.1
40,42.2748,-71.79505,1366.3
40.2,42.2748,-71.79504,1365.5
40.4,42.27481,-71.79503,1364.7
40.6,42.27481,-71.79503,1363.9
40.8,42.27481,-71.79502,1363.1
41,42.27482,-71.79502,1362.3
41.2,42.27482,-71.79501,1361.4
41.4,42.27483,-71.79501,1360.7
41.6,42.27483,-71.795,1359.9
41.8,42.27484,-71.795,1359
42,42.27484,-71.79499,1358.2
42.2,42.27485,-71.79498,1357.3
42.4,42.27485,-71.79498,1356.6
42.6,42.27486,-71.79497,1355.7
42.8,42.27487,-71.79497,1354.9
43,42.27487,-71.79496,1354.2
43.2,42.27488,-71.79496,1353.4
43.4,42.27488,-71.79495,1352.6
43.6,42.27489,-71.79495,1351.8
43.8,42.2749,-71.79495,1350.9
44,42.2749,-71.79494,1350.1
44.2,42.27491,-71.79494,1349.3
44.4,42.27491,-71.79493,1348.5
44.6,42.27492,-71.79493,1347.7
44.8,42.27492,-71.79493,1346.9
45,42.27493,-71.79492,1346
45.2,42.27493,-71.79492,1345.2
45.4,42.27494,-71.79491,1344.3
45.6,42.27494,-71.79491,1343.5
45.8,42.27494,-71.79491,1342.7
46,42.27495,-71.7949,1341.8
46.2,42.27495,-71.7949,1341.2
46.4,42.27495,-71.7949,1340.3
46.6,42.27496,-71.79489,1339.5
46.8,42.27496,-71.79489,1338.6
47,42.27496,-71.79489,1337.8
47.2,42.27497,-71.79488,1337
47.4,42.27497,-71.79488,1336.2
47.6,42.27497,-71.79487,1335.3
47.8,42.27498,-71.79487,1334.7
48,42.27498,-71.79486,1333.8
48.2,42.27498,-71.79485,1332.9
48.4,42.27499,-71.79485,1332.1
48.6,42.27499,-71.79484,1331.3
48.8,42.275,-71.79483,1330.5
49,42.275,-71.79483,1329.7
49.2,42.275,-71.79482,1328.8
49.4,42.27501,-71.79481,1328.1
49.6,42.27501,-71.79481,1327.3
49.8,42.27502,-71.7948,1326.4
50,42.27502,-71.79479,1325.6
50.2,42.27503,-71.79478,1324.8
50.4,42.27503,-71.79477,1324
50.6,42.27504,-71.79477,1323.2
50.8,42.27504,-71.79476,1322.4
51,42.27505,-71.79475,1321.6
51.2,42.27505,-71.79474,1320.8
51.4,42.27506,-71.79474,1320
51.6,42.27507,-71.79473,1319.1
51.8,42.27507,-71.79472,1318.3
52,42.27508,-71.79472,1317.6
52.2,42.27508,-71.79471,1316.7
52.4,42.27509,-71.7947,1315.9
52.6,42.27509,-71.7947,1315.2
52.8,42.2751,-71.79469,1314.4
53,42.27511,-71.79469,1313.5
53.2,42.27511,-71.79468,1312.7
53.4,42.27512,-71.79468,1311.8
53.6,42.27513,-71.79468,1311.1
53.8,42.27513,-71.79467,1310.3
54,42.27514,-71.79467,1309.4
54.2,42.27515,-71.79466,1308.8
54.4,42.27515,-71.79466,1308
54.6,42.27516,-71.79466,1307.1
54.8,42.27516,-71.79465,1306.3
55,42.27517,-71.79465,1305.5
55.2,42.27517,-71.79464,1304.7
55.4,42.27518,-71.79464,1303.9
55.6,42.27518,-71.79463,1303
55.8,42.27519,-71.79463,1302.4
56,42.27519,-71.79463,1301.5
56.2,42.27519,-71.79462,1300.7
